run_date,n_processes,n_total_walkers,time
2025-04-28 00:55:04.697346,2,700,197.427953000064
2025-04-28 00:57:22.158259,4,700,115.3938371000113
2025-04-28 01:00:10.769828,8,700,78.45321109995712
2025-04-28 01:02:02.825748,10,700,67.66008860000875
2025-04-28 01:03:09.905984,12,700,57.52432009996846
2025-04-28 01:04:18.225095,14,700,52.56696660001762
2025-04-28 01:05:13.361573,16,700,45.28781190002337
2025-04-28 01:13:43.319473,2,200,53.848506299895234
2025-04-28 01:14:35.766400,4,200,31.093562499969263
2025-04-28 01:15:05.677599,8,200,21.685856000054628
2025-04-28 01:16:22.558729,10,200,21.030145200085823
2025-04-28 01:16:50.785441,12,200,18.47759199992288
2025-04-28 01:17:14.545240,14,200,17.70165389997419
2025-04-28 01:18:01.187538,16,200,18.243827700032853
2025-04-28 01:20:24.441545,2,500,127.91783960000612
2025-04-28 01:21:52.629919,4,500,81.54693730000872
2025-04-28 01:23:50.285262,8,500,51.33521509997081
2025-04-28 01:24:43.002508,10,500,45.307782800053246
2025-04-28 01:25:40.688368,12,500,42.33999740006402
2025-04-28 01:26:32.518370,14,500,38.5775346000446
2025-04-28 01:27:25.278813,16,500,33.37922959995922
